HMM_ID	Cutoff
K53_9	309
K53_K93_10	526
K53_K93_11	914
K53_K93_12	804
K53_K93_13	831
K53_K93_7	705
K53_K93_8	551
K6_7	934
K6_8	654
K6_9	487
K7_10	593
K7_11	547
K7_12	482
K7_13	388
K7_8	342
K7_9	1345
K93_9	316
K94_6	445
K94_7	754
K94_8	297
K95_7	752
K95_8	1566
K95_9	329
K96_10	992
K96_11	500
K96_5	437
K96_6	1092
K96_7	425
K96_8	552
K96_9	425
K97_7	290
K97_8	1649
K98_11	175
K98_12	431
K98_13	988
K98_14	499
K98_5	1262
K98_6	1172
K98_7	583
K98_8	605
K98_9	552
KfiA	342
KfiB	400
KfiC	734
KfiD	527
KfoA	489
KfoB	775
KfoC	998
KfoD	678
KfoE	743
KfoF	550
KfoG	703
KpsC	843
KpsD	693
KpsE	436
KpsF	440
KpsM	301
KpsS	535
KpsT	160
KpsU	344
KslA	179
KslB	572
KslC	1416
KslD	384
KslE	401
NeuA	586
NeuB	489
NeuC	551
NeuD	284
NeuE	496
NeuS_K1	564
NeuS_K92	567
RfbA	401
RfbB	510
RfbC	249
RfbD	404
